"","iri","label","type","parentlabel","category","definition","min","max","average","upper_quartile","lower_quartile","number_distinct_values","distinct_values","variable"
"626","EUPATH_0011267","Total Haemophilus influenzae type B vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Haemophilus influenzae type B vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.95345104333868,"3","3",5,"","aggregatedVax::hibdosen"
"631","EUPATH_0011279","Inactivated poliovirus vaccine (IPV) doses prior to blood draw","number","Blood sample collection process","Sample","Number of Inactivated Poliovirus (IPV) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","4",0.360953800298063,"0","0",5,"","vax_and_titer_wdates::ipvnbefbl"
"632","EUPATH_0011282","Total Japanese encephalitis vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Japanese encephalitis vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","aggregatedVax::jedosen"
"637","EUPATH_0011287","Log2 measles titer (IU/L), by ELISA result","number","Raw antibody titer test result","Sample","Measles titer (IU/L) in log2 scale. If measles titer is 0, log2(measles titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","14.48",6.97724292101341,"9.06","5.17",633,"","vax_and_titer_wdates::log2mea"
"638","EUPATH_0011288","Log2 pertussis titer (IU/mL), by ELISA result","number","Raw antibody titer test result","Sample","Pertussis titer (IU/mL) in log2 scale. If pertussis titer is 0, log2(pertussis titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","10.51",3.38665474060823,"5.61","0",264,"","vax_and_titer_wdates::log2per"
"639","EUPATH_0011289","Log2 polio IgG titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Polio IgG titer (U/mL) in log2 scale. If polio IgG titer is 0, log2(polio IgG titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","1","9.91",5.94148701104807,"6.64","5.46",241,"","vax_and_titer_wdates::log2poligg"
"640","EUPATH_0011290","Log2 polio serotype 1 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 1 titer in log2 scale + 0.5. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","2.5","10.5",9.33347734773477,"10.5","9.17",31,"","vax_and_titer_wdates::log2pol1n"
"641","EUPATH_0011291","Log2 polio serotype 2 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 2 titer in log2 scale + 0.5. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","2.5","10.5",9.35126312631263,"10.5","8.84",30,"","vax_and_titer_wdates::log2pol2n"
"642","EUPATH_0011292","Log2 polio serotype 3 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 3 titer in log2 scale + 0.5. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","2.5","10.5",8.26533753375338,"10.5","6.82",33,"","vax_and_titer_wdates::log2pol3n"
"643","EUPATH_0011293","Log2 rotavirus IgG titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Rotavirus IgG titer (U/mL) in log2 scale. If Rotavirus IgG titer is 0, log2(Rotavirus IgG titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","15.36",9.38632194244604,"12.5","7.25",859,"","vax_and_titer_wdates::log2rotag"
"644","EUPATH_0011294","Log2 rotavirus IgA titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Rotavirus IgA titer (U/mL) in log2 scale. If Rotavirus IgA titer is 0, log2(Rotavirus IgA titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","11.04",4.16143591293833,"6.91","1",438,"","vax_and_titer_wdates::log2rotaa"
"645","EUPATH_0011295","Log2 tetanus titer (IU/L), by ELISA result","number","Raw antibody titer test result","Sample","Tetanus titer (IU/L) in log2 scale. If tetanus titer is 0, log2(Rotavirus IgG titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","15.28",8.71361549925484,"10.76","7.52",744,"","vax_and_titer_wdates::log2tet"
"648","EUPATH_0011306","Total measles vaccine doses","number","Aggregated immunization and prevention data","Participant","Total measles vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.76295864880606,"2","1",5,"","aggregatedVax::meadosen"
"650","EUPATH_0011308","Measles vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of measles vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","3",0.510581222056632,"1","0",4,"","vax_and_titer_wdates::meanbefbl"
"651","EUPATH_0011309","Measles antibodies, by ELISA","string","Antibodies","Sample","Positive measles titer (>250 IU/L), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::meapos"
"652","EUPATH_0011316","Total meningitis vaccine doses","number","Aggregated immunization and prevention data","Participant","Total meningitis vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.98445595854922,"3","1",3,"","aggregatedVax::mendosen"
"653","EUPATH_0011323","Total measles, mumps, and rubella (MMR) vaccine doses","number","Aggregated immunization and prevention data","Participant","Total measles, mumps, and rubella (MMR) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.27479674796748,"1","1",5,"","aggregatedVax::mmrdosen"
"663","EUPATH_0011384","Total oral poliovirus vaccine (OPV) doses","number","Aggregated immunization and prevention data","Participant","Total oral Poliovirus (OPV) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","38",7.75449684005834,"8","3",38,"","aggregatedVax::opvdosen"
"664","EUPATH_0011385","Oral poliovirus vaccine (OPV) doses prior to blood draw","number","Blood sample collection process","Sample","Number of oral Poliovirus (OPV) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","14",4.18509687034277,"5","3",15,"","vax_and_titer_wdates::opvnbefbl"
"665","EUPATH_0011394","Total pneumococcal conjugate vaccine (PCV) doses","number","Aggregated immunization and prevention data","Participant","Total pneumococcal conjugate (PCV) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","4",2.66535947712418,"3","2",4,"","aggregatedVax::pcvdosen"
"667","EUPATH_0011396","Diphtheria, pertussis, and tetanus (DPT) vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of diphtheria, pertussis, and tetanus (DPT) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","4",2.78479880774963,"3","3",5,"","vax_and_titer_wdates::pernbefbl"
"668","EUPATH_0011397","Pertussis antibodies, by ELISA","string","Antibodies","Sample","Positive pertussis titer (>38 IU/L at 7m or >26 IU/L at 15m of age), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::perpos"
"669","EUPATH_0011398","Polio serotype 2 antibodies, by microneutralization","string","Antibodies","Sample","Positive polio serotype 2 titer (>8 U/L), by microneutralization. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::pol2npos"
"670","EUPATH_0011400","Polio IgG antibodies, by ELISA","string","Antibodies","Sample","Positive polio IgG titer (>10 U/L), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::poliggpos"
"671","EUPATH_0011403","Polio IgG titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Polio IgG titer (U/mL), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","2","963",79.5434458047178,"100","44",257,"","vax_and_titer_wdates::vrfpoligg"
"674","EUPATH_0011411","Total rabies vaccine doses","number","Aggregated immunization and prevention data","Participant","Total rabies vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.5,"3","1",5,"","aggregatedVax::rabdosen"
"675","EUPATH_0011423","Rotavirus antibodies, by ELISA","string","Antibodies","Sample","Positive Rotavirus IgA titer (>20 U/mL), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::rotaapos"
"676","EUPATH_0011427","Total rotavirus vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Rotavirus vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.86500655307995,"2","2",3,"","aggregatedVax::rotadosen"
"677","EUPATH_0011429","Rotavirus vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of Rotavirus vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","3",0.692697466467958,"2","0",4,"","vax_and_titer_wdates::rotanbefbl"
"678","EUPATH_0011436","Total rubella vaccine doses","number","Aggregated immunization and prevention data","Participant","Total rubella vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.41791044776119,"2","1",5,"","aggregatedVax::rubdosen"
"681","EUPATH_0011440","Total vitamin A supplementations","number","Aggregated immunization and prevention data","Participant","Total vitamin A supplementations, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","6",1.96587030716724,"3","1",6,"","aggregatedVax::vitadosen"
"682","EUPATH_0011441","Total yellow fever vaccine doses","number","Aggregated immunization and prevention data","Participant","Total yellow fever vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","aggregatedVax::yfdosen"
"683","EUPATH_0011459","Total tetanus vaccine doses","number","Aggregated immunization and prevention data","Participant","Total tetanus vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","9",3.13997042878265,"4","3",7,"","aggregatedVax::tetadosen"
"684","EUPATH_0011460","Tetanus vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of tetanus vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","9",2.78509687034277,"3","3",6,"","vax_and_titer_wdates::tetnbefbl"
"685","EUPATH_0011461","Tetanus antibodies, by ELISA","string","Antibodies","Sample","Positive tetanus titer (>100 IU/L), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::tetpos"
"686","EUPATH_0011464","Total typhoid vaccine doses","number","Aggregated immunization and prevention data","Participant","Total typhoid vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","aggregatedVax::typdosen"
"694","EUPATH_0011474","Polio serotype 2 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 2 titer, by microneutralization. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","4","1024",718.277227722772,"1024","323",34,"","vax_and_titer_wdates::vrfpolser2tit"
"698","EUPATH_0011478","Polio serotype 1 antibodies, by microneutralization","string","Antibodies","Sample","Positive polio serotype 1 titer (>8 U/L), by microneutralization. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::pol1npos"
"699","EUPATH_0011479","Polio serotype 3 antibodies, by microneutralization","string","Antibodies","Sample","Positive polio serotype 3 titer (>8 U/L), by microneutralization. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::pol3npos"
"703","EUPATH_0011483","Total mumps vaccine doses","number","Aggregated immunization and prevention data","Participant","Total mumps vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","4",1.23529411764706,"1","1",4,"","aggregatedVax::mumdosen"
"704","EUPATH_0011484","Total inactivated poliovirus vaccine (IPV) doses","number","Aggregated immunization and prevention data","Participant","Total inactivated Poliovirus (IPV) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",3.1830985915493,"4","3",5,"","aggregatedVax::ipvdosen"
"705","EUPATH_0011514","Tetanus titer (IU/L), by ELISA result","number","Raw antibody titer test result","Sample","Tetanus titer (IU/L), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","39880",1651.20029806259,"1737","184",1863,"","vax_and_titer_wdates::vrftettit"
"706","EUPATH_0011515","Rotavirus IgG titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Rotavirus IgG titer (U/mL), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","42000",7046.30065947242,"5799","152",1914,"","vax_and_titer_wdates::vrfrotagtit"
"707","EUPATH_0011516","Rotavirus IgA titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Rotavirus IgA titer (U/mL), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","2100",152.324667472793,"120","2",579,"","vax_and_titer_wdates::vrfrotaatit"
"708","EUPATH_0011517","Pertussis titer (IU/mL), by ELISA result","number","Raw antibody titer test result","Sample","Pertussis titer (IU/mL), by ELISA. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","1456",43.8649373881932,"49","0",290,"","vax_and_titer_wdates::vrfpertit"
"709","EUPATH_0011518","Polio serotype 1 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 1 titer, by microneutralization. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","4","1024",729.193819381938,"1024","407",35,"","vax_and_titer_wdates::vrfpolser1tit"
